NumSelectedCards,ObjectiveValue
1,2082.1
2,3505.1
3,4830.6
4,6085.6
5,7265.6
6,8371.0
7,9289.0
8,9887.0
9,10378.1
10,10858.6
11,11216.35
12,11625.6
13,11840.35
14,12094.1
15,12460.35
16,12528.85
17,12728.85
18,12734.050000000001
19,12734.050000000001
20,12734.050000000001
21,12734.050000000001
22,12734.050000000001
23,12734.050000000001
24,12734.050000000001
25,12734.050000000001
26,12734.050000000001
27,12734.050000000001
28,12695.050000000001
29,12600.050000000001
30,12505.050000000001
31,12410.050000000001
32,12315.050000000001
33,12220.050000000001
34,12070.050000000001
35,11920.050000000001
36,11770.050000000001
37,11522.25
38,11272.25
39,11022.25
40,10772.25
41,10422.25
42,10069.75
43,9544.75
44,8994.75
45,8399.75
46,7749.75
47,7099.75
48,6409.75
